"%1 day of month","%1 day of month"
"%1 of %2 orders","%1 of %2 orders"
"%1 orders left","%1 orders left"
"%1 payment","%1 payment"
"%1 payments","%1 payments"
"--Please Select--","--Please Select--"
"A total of %1 record(s) have been activated.","A total of %1 record(s) have been activated."
"A total of %1 record(s) have been cancelled.","A total of %1 record(s) have been cancelled."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"A total of %1 record(s) have been disabled.","A total of %1 record(s) have been disabled."
"A total of %1 record(s) have been enabled.","A total of %1 record(s) have been enabled."
"A total of %1 record(s) have been suspended.","A total of %1 record(s) have been suspended."
"A total of %1 record(s) have not been activated because this operation is not available.","A total of %1 record(s) have not been activated because this operation is not available."
"A total of %1 record(s) have not been cancelled because this operation is not available.","A total of %1 record(s) have not been cancelled because this operation is not available."
"A total of %1 record(s) have not been suspended because this operation is not available.","A total of %1 record(s) have not been suspended because this operation is not available."
"Activate","Activate"
"Activate Subscription","Activate Subscription"
"Activate this Subscription","Activate this Subscription"
"Actions","Actions"
"Active","Active"
"Add","Add"
"Add Subscription Plan","Add Subscription Plan"
"Additional Pricing Settings","Additional Pricing Settings"
"Addresses, Shipping And Payment Methods","Addresses, Shipping And Payment Methods"
"Apply Tax on Shipping Amount","Apply Tax on Shipping Amount"
"Apply Tax on Trial Amount","Apply Tax on Trial Amount"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Authorize.net","Authorize.net"
"Billing Address","Billing Address"
"Buy request is required.","Buy request is required."
"Cancel","Cancel"
"Cancel Subscription","Cancel Subscription"
"Cancel this Subscription","Cancel this Subscription"
"Cancelled","Cancelled"
"Change status","Change status"
"City","City"
"Company","Company"
"Confirmation","Confirmation"
"Continue Shopping","Continue Shopping"
"Continue to Checkout","Continue to Checkout"
"Continue to Paypal","Continue to Paypal"
"Country","Country"
"Could not save recurring profile.","Could not save recurring profile."
"Created At","Created At"
"Credit Card Types","Credit Card Types"
"Credit Card Verification","Credit Card Verification"
"Customer","Customer"
"Date","Date"
"Day","Day"
"Daily","Daily"
"Debug","Debug"
"Defined by customer","Defined by customer"
"Delete","Delete"
"Description (256 characters max, HTML is supported)","Description (256 characters max, HTML is supported)"
"Disable","Disable"
"Disabled","Disabled"
"Display "You Save X %" on Product Page","Display "You Save X %" on Product Page"
"Each Payment (except Trial Period, excl. tax and shipping)","Each Payment (except Trial Period, excl. tax and shipping)"
"edit","edit"
"Edit Subscription Plan","Edit Subscription Plan"
"Email","Email"
"Enable","Enable"
"Enable Initial Fee","Enable Initial Fee"
"Enable Trial Period","Enable Trial Period"
"Enabled","Enabled"
"Email Address","Email Address"
"Every...","Every..."
"Every %1 %2","Every %1 %2"
"Exact day of month","Exact day of month"
"Expired","Expired"
"Express Checkout has been canceled.","Express Checkout has been canceled."
"First Name","First Name"
"Gateway has rejected request. %1","Gateway has rejected request. %1"
"General","General"
"General Information","General Information"
"Get Support","Get Support"
"Group","Group"
"ID","ID"
"If not specified, Timezone from General Config will be used","If not specified, Timezone from General Config will be used"
"Infinite","Infinite"
"Initial Fee","Initial Fee"
"Item cannot be added to subscription cart.","Item cannot be added to subscription cart."
"Item in Subscription","Item in Subscription"
"Items in Subscription","Items in Subscription"
"Last day of current month","Last day of current month"
"Last Name","Last Name"
"Last Order","Last Order"
"Last Order Date","Last Order Date"
"Last Order Grand Total","Last Order Grand Total"
"Leave 0 or empty for infinite subscription","Leave 0 or empty for infinite subscription"
"Leave empty to disable","Leave empty to disable"
"Live Publishable Key","Live Publishable Key"
"Live Secret Key","Live Secret Key"
"Login","Login"
"Merchant Timezone","Merchant Timezone"
"Moment of purchase","Moment of purchase"
"Month","Month"
"Monthly","Monthly"
"My Orders","My Orders"
"My Subscriptions","My Subscriptions"
"Name","Name"
"Name is required.","Name is required."
"New Subscription Plan","New Subscription Plan"
"Next","Next"
"No","No"
"No shipping information available.","No shipping information available."
"Number Of Payments","Number Of Payments"
"Number Of Trial Payments","Number Of Trial Payments"
"Optional","Optional"
"Order #","Order #"
"Order Status","Order Status"
"Order Total","Order Total"
"Orders","Orders"
"Password","Password"
"Past due","Past due"
"Payment","Payment"
"Payment Method","Payment Method"
"Payment Reference ID","Payment Reference ID"
"Payments","Payments"
"PayPal Express","PayPal Express"
"PayPal can't process subscriptions with a zero balance due. To finish your purchase, please go through the subscription checkout process.","PayPal can't process subscriptions with a zero balance due. To finish your purchase, please go through the subscription checkout process."
"Pending","Pending"
"Per-product subscription prices can be configured at Products -> Catalog. If unique subscription prices are not configured, then regular product price will be used as iteration price.","Per-product subscription prices can be configured at Products -> Catalog. If unique subscription prices are not configured, then regular product price will be used as iteration price."
"Phone Number","Phone Number"
"Please correct the timezone.","Please correct the timezone."
"Please select subscription plan.","Please select subscription plan."
"Please specify product option(s).","Please specify product option(s)."
"Product","Product"
"Product(s)","Product(s)"
"Product Id is required.","Product Id is required."
"Product Name","Product Name"
"Products","Products"
"Products in your Subscription Cart","Products in your Subscription Cart"
"Qty","Qty"
"Qty is incorrect.","Qty is incorrect."
"Qty is required.","Qty is required."
"Readme","Readme"
"Refresh Data","Refresh Data"
"Regular Iteration Price","Regular Iteration Price"
"Regular Payment Cart Subtotal","Regular Payment Cart Subtotal"
"Regular Payment Price","Regular Payment Price"
"Regular Payment Subtotal","Regular Payment Subtotal"
"Regular Payment Total","Regular Payment Total"
"Repeat","Repeat"
"Repeat Payments","Repeat Payments"
"Review & Payments","Review & Payments"
"Save","Save"
"Schedule","Schedule"
"Secure Checkout","Secure Checkout"
"See more details","See more details"
"Select Plan","Select Plan"
"Select subscription plan","Select subscription plan"
"Selected","Selected"
"SemiMonth","SemiMonth"
"Settings","Settings"
"Ship To","Ship To"
"Shipping","Shipping"
"Shipping Address","Shipping Address"
"Shipping Method","Shipping Method"
"Shipping Methods","Shipping Methods"
"SKU","SKU"
"Something went wrong while activate the items.","Something went wrong while activate the items."
"Something went wrong while activate the subscription.","Something went wrong while activate the subscription."
"Something went wrong while cancel the items.","Something went wrong while cancel the items."
"Something went wrong while cancel the subscription.","Something went wrong while cancel the subscription."
"Something went wrong while deleting the items.","Something went wrong while deleting the items."
"Something went wrong while disable the items.","Something went wrong while disable the items."
"Something went wrong while editing the subscription plan.","Something went wrong while editing the subscription plan."
"Something went wrong while enable the items.","Something went wrong while enable the items."
"Something went wrong while saving the address.","Something went wrong while saving the address."
"Something went wrong while saving the subscription plan.","Something went wrong while saving the subscription plan."
"Something went wrong while suspend the items.","Something went wrong while suspend the items."
"Something went wrong while suspend the subscription.","Something went wrong while suspend the subscription."
"Such amount could not be ordered.","Such amount could not be ordered."
"Start","Start"
"Start Date","Start Date"
"Start date is incorrect.","Start date is incorrect."
"Start date must be in future.","Start date must be in future."
"State/Province","State/Province"
"Status","Status"
"Store View","Store View"
"Storefront Description","Storefront Description"
"Storefront description is more than 256 characters long.","Storefront description is more than 256 characters long."
"Storefront title is required.","Storefront title is required."
"Street Address","Street Address"
"Street Address 2","Street Address 2"
"Stripe","Stripe"
"Subscribe","Subscribe"
"Subscribe & Save <%- amount %> %'","Subscribe & Save <%- amount %> %'"
"Subscription","Subscription"
"Subscription #%1","Subscription #%1"
"Subscription and Recurring Payments","Subscription and Recurring Payments"
"Subscription and Recurring Payments by aheadWorks","Subscription and Recurring Payments by aheadWorks"
"Subscription Cart","Subscription Cart"
"Subscription cart is empty.","Subscription cart is empty."
"Subscription Checkout","Subscription Checkout"
"Subscription Configuration","Subscription Configuration"
"Subscription Engine","Subscription Engine"
"Subscription only","Subscription only"
"Subscription Plan","Subscription Plan"
"Subscription plan could not be deleted.","Subscription plan could not be deleted."
"Subscription plan was successfully deleted.","Subscription plan was successfully deleted."
"Subscription Plans","Subscription Plans"
"Subscription Profile ID","Subscription Profile ID"
"Subscription Start Date","Subscription Start Date"
"Subscriptions","Subscriptions"
"Success Page","Success Page"
"Summary","Summary"
"Suspend","Suspend"
"Suspend Subscription","Suspend Subscription"
"Suspend this Subscription","Suspend this Subscription"
"Suspended","Suspended"
"Tax","Tax"
"Terminated","Terminated"
"Test Mode","Test Mode"
"Test Publishable Key","Test Publishable Key"
"Test Secret Key","Test Secret Key"
"The subscription data was successfully updated.","The subscription data was successfully updated."
"The subscription plan was successfully saved.","The subscription plan was successfully saved."
"The subscription was successfully activated.","The subscription was successfully activated."
"The subscription was successfully cancelled.","The subscription was successfully cancelled."
"The subscription was successfully suspended.","The subscription was successfully suspended."
"Title","Title"
"Tooltip Near Subscription Button on Product Page","Tooltip Near Subscription Button on Product Page"
"Total Number Of Payments","Total Number Of Payments"
"Trialing","Trialing"
"Trial Period","Trial Period"
"Trial Price","Trial Price"
"Unable to save payment information. Please check input data.","Unable to save payment information. Please check input data."
"Unable to save shipping information. Please check input data.","Unable to save shipping information. Please check input data."
"Unselect","Unselect"
"Unpaid","Unpaid"
"Update","Update"
"View","View"
"Visible in admin panel only.","Visible in admin panel only."
"We can't add this item to subscription cart right now.","We can't add this item to subscription cart right now."
"We couldn't find any records.","We couldn't find any records."
"We'll email you subscription confirmation.","We'll email you subscription confirmation."
"Website","Website"
"Week","Week"
"Weekly","Weekly"
"What is this?","What is this?"
"Year","Year"
"You added %1 to subscription cart.","You added %1 to subscription cart."
"You already have an account with us. Sign in or continue as guest.","You already have an account with us. Sign in or continue as guest."
"You can create an account after checkout.","You can create an account after checkout."
"You can view and manage your orders at %1 page.","You can view and manage your orders at %1 page."
"You can view and manage your subscriptions at %1 page.","You can view and manage your subscriptions at %1 page."
"You have no items in your subscription cart.","You have no items in your subscription cart."
"Your subscription has been successfully created.","Your subscription has been successfully created."
"You will see prices after plan selection. You need to select subscription plan first.","You will see prices after plan selection. You need to select subscription plan first."
"Zip/Postal Code","Zip/Postal Code"
